"PMID"	"Title"	"Abstract"	"YearPubmed"	"MonthPubmed"	"DayPubmed"	"Date"	"country"	"afil"	"chloroquine"	"remdesivir"
"23"	32181911	"Diagnostic Utility of Clinical Laboratory Data Determinations for Patients with the Severe COVID-19."	"the role of clinical laboratory data in the differential diagnosis of the severe forms of covid-19 has not been definitely established. the aim of this study was to look for the warning index in severe covid-19 patients. we investigated forty-three adult patients with covid-19. the patients were classified into mild group (28 patients) and severe group (15 patients). comparison of the haematological parameters between the mild and severe groups showed significant differences in il-6  d-dimer  glu  tt  fib and crp (p &lt;0.05). the optimal threshold and area under the roc curve of il-6 were 24.3 pg ml and 0.795 respectively  while those of d-dimer were 0.28 µg l and 0.750  respectively. the area under the roc curve (auc) of il-6 combined with d-dimer was 0.840. the specificity of predicting the severity of covid-19 during il-6 and d-dimer tandem testing was up to 93.3%  while the sensitivity of il-6 and d-dimer by parallel test in the severe covid-19 was 96.4%. il-6 and d-dimer were closely related to the occurrence of severe covid-19 in the adult patients  and their combined detection had the highest specificity and sensitivity for early prediction of the severity of covid-19 patients  which has important clinical value. this article is protected by copyright. all rights reserved."	2020	3	18	2020-03-18	"China"	"Department of Clinical Laboratory, the First Affiliated Hospital of Anhui Medical University, Hefei, China."	FALSE	FALSE
"24"	32181911	"Diagnostic Utility of Clinical Laboratory Data Determinations for Patients with the Severe COVID-19."	"the role of clinical laboratory data in the differential diagnosis of the severe forms of covid-19 has not been definitely established. the aim of this study was to look for the warning index in severe covid-19 patients. we investigated forty-three adult patients with covid-19. the patients were classified into mild group (28 patients) and severe group (15 patients). comparison of the haematological parameters between the mild and severe groups showed significant differences in il-6  d-dimer  glu  tt  fib and crp (p &lt;0.05). the optimal threshold and area under the roc curve of il-6 were 24.3 pg ml and 0.795 respectively  while those of d-dimer were 0.28 µg l and 0.750  respectively. the area under the roc curve (auc) of il-6 combined with d-dimer was 0.840. the specificity of predicting the severity of covid-19 during il-6 and d-dimer tandem testing was up to 93.3%  while the sensitivity of il-6 and d-dimer by parallel test in the severe covid-19 was 96.4%. il-6 and d-dimer were closely related to the occurrence of severe covid-19 in the adult patients  and their combined detection had the highest specificity and sensitivity for early prediction of the severity of covid-19 patients  which has important clinical value. this article is protected by copyright. all rights reserved."	2020	3	18	2020-03-18	"China"	"Department of Microbiology, Anhui Medical University, Hefei, Anhui, China."	FALSE	FALSE
"25"	32181911	"Diagnostic Utility of Clinical Laboratory Data Determinations for Patients with the Severe COVID-19."	"the role of clinical laboratory data in the differential diagnosis of the severe forms of covid-19 has not been definitely established. the aim of this study was to look for the warning index in severe covid-19 patients. we investigated forty-three adult patients with covid-19. the patients were classified into mild group (28 patients) and severe group (15 patients). comparison of the haematological parameters between the mild and severe groups showed significant differences in il-6  d-dimer  glu  tt  fib and crp (p &lt;0.05). the optimal threshold and area under the roc curve of il-6 were 24.3 pg ml and 0.795 respectively  while those of d-dimer were 0.28 µg l and 0.750  respectively. the area under the roc curve (auc) of il-6 combined with d-dimer was 0.840. the specificity of predicting the severity of covid-19 during il-6 and d-dimer tandem testing was up to 93.3%  while the sensitivity of il-6 and d-dimer by parallel test in the severe covid-19 was 96.4%. il-6 and d-dimer were closely related to the occurrence of severe covid-19 in the adult patients  and their combined detection had the highest specificity and sensitivity for early prediction of the severity of covid-19 patients  which has important clinical value. this article is protected by copyright. all rights reserved."	2020	3	18	2020-03-18	"China"	"Department of Pediatrics, the First Affiliated Hospital of Anhui Medical University, Hefei, China."	FALSE	FALSE
"26"	32181911	"Diagnostic Utility of Clinical Laboratory Data Determinations for Patients with the Severe COVID-19."	"the role of clinical laboratory data in the differential diagnosis of the severe forms of covid-19 has not been definitely established. the aim of this study was to look for the warning index in severe covid-19 patients. we investigated forty-three adult patients with covid-19. the patients were classified into mild group (28 patients) and severe group (15 patients). comparison of the haematological parameters between the mild and severe groups showed significant differences in il-6  d-dimer  glu  tt  fib and crp (p &lt;0.05). the optimal threshold and area under the roc curve of il-6 were 24.3 pg ml and 0.795 respectively  while those of d-dimer were 0.28 µg l and 0.750  respectively. the area under the roc curve (auc) of il-6 combined with d-dimer was 0.840. the specificity of predicting the severity of covid-19 during il-6 and d-dimer tandem testing was up to 93.3%  while the sensitivity of il-6 and d-dimer by parallel test in the severe covid-19 was 96.4%. il-6 and d-dimer were closely related to the occurrence of severe covid-19 in the adult patients  and their combined detection had the highest specificity and sensitivity for early prediction of the severity of covid-19 patients  which has important clinical value. this article is protected by copyright. all rights reserved."	2020	3	18	2020-03-18	"China"	"Department of pharmacy, Fuyang people's hospital, Fuyang, China."	FALSE	FALSE
"27"	32181904	"Under the epidemic situation of COVID-19, should special attention to pregnant women be given?"	NA	2020	3	18	2020-03-18	"China"	"Department of Gastroenterology and Hepatology, China-Japan Union Hospital of Jilin University, Xiantai street 126#, Changchun, China, 130033."	FALSE	FALSE
"28"	32181903	"Platelet-to-lymphocyte ratio is associated with prognosis in patients with Corona Virus Disease-19."	"introduction: sincedecember 2019  novelcoronavirus infected pneumonia emerged in wuhan city and rapidly spread throughout china. in severe novel coronavirus pneumonia cases  the number of platelets  their dynamic changes during the treatment  platelet-to-lymphocyte ratio(plr)were a concern. we sought to describe platelet feature of these cases.methods: single-center case series of the 30 hospitalized patients with confirmed corona virus disease(covid)-19 in huizhou municipal central hospitalfrom january 2020 to february 2020 were retrospectively analysed. demographic  clinical  blood routine results  other laborotary results and treatment date were collected and analyzed. outcomes of severe patients and non-severe patients were compared.results: univariate analysis showed that: age  platelet peaks and plr at peak platelet were the influencing factors in severe patients multivariate analysis showed that the plr value at peak platelet during treatment was an independent influencing factor in severe patients.the average hospitalization day of patients with platelet peaks during treatment were longer than those without platelet peaks(p&lt;0.05).the average age of patients with platelet peaks during treatment were older than those without platelet peaks(p&lt;0.05). the patients with significantly elevated platelets during treatment had longer average hospitalization day. and the higher plr of patients during treatment had longer average hospitalization day.conclusion: single-center case series of the 30 hospitalized patients with confirmed covid-19 in huizhou municipal central hospital  presumed that the number of platelets and their dynamic changes during the treatment may have suggestion on the severity and prognosis of disease. the patient with markedly elevated platelets and longer average hospitalization day may be related to the cytokine storm. the plr of patients means the degree of cytokine storm  which might provide a new indicator in the monitoring in patients with covid-19. this article is protected by copyright. all rights reserved."	2020	3	18	2020-03-18	"China"	"Department of Critical Care Medicine, Huizhou municipal central hospital, 516001, Huizhou, China."	FALSE	FALSE
"29"	32181903	"Platelet-to-lymphocyte ratio is associated with prognosis in patients with Corona Virus Disease-19."	"introduction: sincedecember 2019  novelcoronavirus infected pneumonia emerged in wuhan city and rapidly spread throughout china. in severe novel coronavirus pneumonia cases  the number of platelets  their dynamic changes during the treatment  platelet-to-lymphocyte ratio(plr)were a concern. we sought to describe platelet feature of these cases.methods: single-center case series of the 30 hospitalized patients with confirmed corona virus disease(covid)-19 in huizhou municipal central hospitalfrom january 2020 to february 2020 were retrospectively analysed. demographic  clinical  blood routine results  other laborotary results and treatment date were collected and analyzed. outcomes of severe patients and non-severe patients were compared.results: univariate analysis showed that: age  platelet peaks and plr at peak platelet were the influencing factors in severe patients multivariate analysis showed that the plr value at peak platelet during treatment was an independent influencing factor in severe patients.the average hospitalization day of patients with platelet peaks during treatment were longer than those without platelet peaks(p&lt;0.05).the average age of patients with platelet peaks during treatment were older than those without platelet peaks(p&lt;0.05). the patients with significantly elevated platelets during treatment had longer average hospitalization day. and the higher plr of patients during treatment had longer average hospitalization day.conclusion: single-center case series of the 30 hospitalized patients with confirmed covid-19 in huizhou municipal central hospital  presumed that the number of platelets and their dynamic changes during the treatment may have suggestion on the severity and prognosis of disease. the patient with markedly elevated platelets and longer average hospitalization day may be related to the cytokine storm. the plr of patients means the degree of cytokine storm  which might provide a new indicator in the monitoring in patients with covid-19. this article is protected by copyright. all rights reserved."	2020	3	18	2020-03-18	"China"	"Department of Radiation Oncology, National CancerCenter National Clinical Research Center for Cancer/Cancer Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College, 100021, Beijing, China."	FALSE	FALSE
"30"	32181903	"Platelet-to-lymphocyte ratio is associated with prognosis in patients with Corona Virus Disease-19."	"introduction: sincedecember 2019  novelcoronavirus infected pneumonia emerged in wuhan city and rapidly spread throughout china. in severe novel coronavirus pneumonia cases  the number of platelets  their dynamic changes during the treatment  platelet-to-lymphocyte ratio(plr)were a concern. we sought to describe platelet feature of these cases.methods: single-center case series of the 30 hospitalized patients with confirmed corona virus disease(covid)-19 in huizhou municipal central hospitalfrom january 2020 to february 2020 were retrospectively analysed. demographic  clinical  blood routine results  other laborotary results and treatment date were collected and analyzed. outcomes of severe patients and non-severe patients were compared.results: univariate analysis showed that: age  platelet peaks and plr at peak platelet were the influencing factors in severe patients multivariate analysis showed that the plr value at peak platelet during treatment was an independent influencing factor in severe patients.the average hospitalization day of patients with platelet peaks during treatment were longer than those without platelet peaks(p&lt;0.05).the average age of patients with platelet peaks during treatment were older than those without platelet peaks(p&lt;0.05). the patients with significantly elevated platelets during treatment had longer average hospitalization day. and the higher plr of patients during treatment had longer average hospitalization day.conclusion: single-center case series of the 30 hospitalized patients with confirmed covid-19 in huizhou municipal central hospital  presumed that the number of platelets and their dynamic changes during the treatment may have suggestion on the severity and prognosis of disease. the patient with markedly elevated platelets and longer average hospitalization day may be related to the cytokine storm. the plr of patients means the degree of cytokine storm  which might provide a new indicator in the monitoring in patients with covid-19. this article is protected by copyright. all rights reserved."	2020	3	18	2020-03-18	"China"	"Institute of Infection, Immunology and Tumor Microenviroment, Medical College, Wuhan University of Science and Technology, 430065, Wuhan, China."	FALSE	FALSE
"31"	32181903	"Platelet-to-lymphocyte ratio is associated with prognosis in patients with Corona Virus Disease-19."	"introduction: sincedecember 2019  novelcoronavirus infected pneumonia emerged in wuhan city and rapidly spread throughout china. in severe novel coronavirus pneumonia cases  the number of platelets  their dynamic changes during the treatment  platelet-to-lymphocyte ratio(plr)were a concern. we sought to describe platelet feature of these cases.methods: single-center case series of the 30 hospitalized patients with confirmed corona virus disease(covid)-19 in huizhou municipal central hospitalfrom january 2020 to february 2020 were retrospectively analysed. demographic  clinical  blood routine results  other laborotary results and treatment date were collected and analyzed. outcomes of severe patients and non-severe patients were compared.results: univariate analysis showed that: age  platelet peaks and plr at peak platelet were the influencing factors in severe patients multivariate analysis showed that the plr value at peak platelet during treatment was an independent influencing factor in severe patients.the average hospitalization day of patients with platelet peaks during treatment were longer than those without platelet peaks(p&lt;0.05).the average age of patients with platelet peaks during treatment were older than those without platelet peaks(p&lt;0.05). the patients with significantly elevated platelets during treatment had longer average hospitalization day. and the higher plr of patients during treatment had longer average hospitalization day.conclusion: single-center case series of the 30 hospitalized patients with confirmed covid-19 in huizhou municipal central hospital  presumed that the number of platelets and their dynamic changes during the treatment may have suggestion on the severity and prognosis of disease. the patient with markedly elevated platelets and longer average hospitalization day may be related to the cytokine storm. the plr of patients means the degree of cytokine storm  which might provide a new indicator in the monitoring in patients with covid-19. this article is protected by copyright. all rights reserved."	2020	3	18	2020-03-18	NA	"Department of Hematology &amp"	FALSE	FALSE
"32"	32181903	"Platelet-to-lymphocyte ratio is associated with prognosis in patients with Corona Virus Disease-19."	"introduction: sincedecember 2019  novelcoronavirus infected pneumonia emerged in wuhan city and rapidly spread throughout china. in severe novel coronavirus pneumonia cases  the number of platelets  their dynamic changes during the treatment  platelet-to-lymphocyte ratio(plr)were a concern. we sought to describe platelet feature of these cases.methods: single-center case series of the 30 hospitalized patients with confirmed corona virus disease(covid)-19 in huizhou municipal central hospitalfrom january 2020 to february 2020 were retrospectively analysed. demographic  clinical  blood routine results  other laborotary results and treatment date were collected and analyzed. outcomes of severe patients and non-severe patients were compared.results: univariate analysis showed that: age  platelet peaks and plr at peak platelet were the influencing factors in severe patients multivariate analysis showed that the plr value at peak platelet during treatment was an independent influencing factor in severe patients.the average hospitalization day of patients with platelet peaks during treatment were longer than those without platelet peaks(p&lt;0.05).the average age of patients with platelet peaks during treatment were older than those without platelet peaks(p&lt;0.05). the patients with significantly elevated platelets during treatment had longer average hospitalization day. and the higher plr of patients during treatment had longer average hospitalization day.conclusion: single-center case series of the 30 hospitalized patients with confirmed covid-19 in huizhou municipal central hospital  presumed that the number of platelets and their dynamic changes during the treatment may have suggestion on the severity and prognosis of disease. the patient with markedly elevated platelets and longer average hospitalization day may be related to the cytokine storm. the plr of patients means the degree of cytokine storm  which might provide a new indicator in the monitoring in patients with covid-19. this article is protected by copyright. all rights reserved."	2020	3	18	2020-03-18	NA	"Department of Medical, National CancerCenter National Clinical Research Center for Cancer/Cancer Hospital&amp"	FALSE	FALSE
"33"	32181901	"A guideline for homology modeling of the proteins from newly discovered betacoronavirus, 2019 novel coronavirus (2019-nCoV)."	"during an outbreak of respiratory diseases including atypical pneumonia in wuhan  a previously unknown ß-coronavirus was detected in patients. the newly discovered coronavirus is similar to some ß-coronaviruses found in bats  but different from previously known sars-cov and mers-cov. high sequence identities and similarities between 2019-ncov and sars-cov was found. in this work  we searched the homologous templates of all nonstructural and structural proteins of 2019-ncov. among the nonstructural proteins  the leader protein (nsp1)  the papain-like protease (nsp3)  the nsp4  the 3c-like protease (nsp5)  the nsp7  the nsp8  the nsp9  the nsp10  the rna-directed rna polymerase (nsp12)  the helicase (nsp13)  the guanine-n7 methyltransferase (nsp14)  the uridylate-specific endoribonuclease (nsp15)  the 2'-o-methyltransferase (nsp16)  and the orf7a protein could be built on the basis of homology templates. among the structural proteins  the spike protein (s-protein)  the envelope protein (e-protein)  and the nucleocapsid protein (n-protein) can be constructed based on the crystal structures of the proteins from sars-cov. it is known that pl-pro  3cl-pro  and rdrp are important targets for design antiviral drugs against 2019-ncov. and s protein is critical target candidate for inhibitor screening or vaccine design against 2019-ncov because coronavirus replication is initiated by the binding of s protein to cell surface receptors. it is believed that these proteins should be useful for further structure-based virtual screening and related computer-aided drug development and vaccine design. this article is protected by copyright. all rights reserved."	2020	3	18	2020-03-18	"China"	"College of New Energy, Bohai University, Jinzhou, 121007, China."	FALSE	FALSE
"34"	32181901	"A guideline for homology modeling of the proteins from newly discovered betacoronavirus, 2019 novel coronavirus (2019-nCoV)."	"during an outbreak of respiratory diseases including atypical pneumonia in wuhan  a previously unknown ß-coronavirus was detected in patients. the newly discovered coronavirus is similar to some ß-coronaviruses found in bats  but different from previously known sars-cov and mers-cov. high sequence identities and similarities between 2019-ncov and sars-cov was found. in this work  we searched the homologous templates of all nonstructural and structural proteins of 2019-ncov. among the nonstructural proteins  the leader protein (nsp1)  the papain-like protease (nsp3)  the nsp4  the 3c-like protease (nsp5)  the nsp7  the nsp8  the nsp9  the nsp10  the rna-directed rna polymerase (nsp12)  the helicase (nsp13)  the guanine-n7 methyltransferase (nsp14)  the uridylate-specific endoribonuclease (nsp15)  the 2'-o-methyltransferase (nsp16)  and the orf7a protein could be built on the basis of homology templates. among the structural proteins  the spike protein (s-protein)  the envelope protein (e-protein)  and the nucleocapsid protein (n-protein) can be constructed based on the crystal structures of the proteins from sars-cov. it is known that pl-pro  3cl-pro  and rdrp are important targets for design antiviral drugs against 2019-ncov. and s protein is critical target candidate for inhibitor screening or vaccine design against 2019-ncov because coronavirus replication is initiated by the binding of s protein to cell surface receptors. it is believed that these proteins should be useful for further structure-based virtual screening and related computer-aided drug development and vaccine design. this article is protected by copyright. all rights reserved."	2020	3	18	2020-03-18	"China"	"Faculty of Education and Sports, Guangdong Baiyun University, Guangzhou, 510450, China."	FALSE	FALSE
"35"	32181901	"A guideline for homology modeling of the proteins from newly discovered betacoronavirus, 2019 novel coronavirus (2019-nCoV)."	"during an outbreak of respiratory diseases including atypical pneumonia in wuhan  a previously unknown ß-coronavirus was detected in patients. the newly discovered coronavirus is similar to some ß-coronaviruses found in bats  but different from previously known sars-cov and mers-cov. high sequence identities and similarities between 2019-ncov and sars-cov was found. in this work  we searched the homologous templates of all nonstructural and structural proteins of 2019-ncov. among the nonstructural proteins  the leader protein (nsp1)  the papain-like protease (nsp3)  the nsp4  the 3c-like protease (nsp5)  the nsp7  the nsp8  the nsp9  the nsp10  the rna-directed rna polymerase (nsp12)  the helicase (nsp13)  the guanine-n7 methyltransferase (nsp14)  the uridylate-specific endoribonuclease (nsp15)  the 2'-o-methyltransferase (nsp16)  and the orf7a protein could be built on the basis of homology templates. among the structural proteins  the spike protein (s-protein)  the envelope protein (e-protein)  and the nucleocapsid protein (n-protein) can be constructed based on the crystal structures of the proteins from sars-cov. it is known that pl-pro  3cl-pro  and rdrp are important targets for design antiviral drugs against 2019-ncov. and s protein is critical target candidate for inhibitor screening or vaccine design against 2019-ncov because coronavirus replication is initiated by the binding of s protein to cell surface receptors. it is believed that these proteins should be useful for further structure-based virtual screening and related computer-aided drug development and vaccine design. this article is protected by copyright. all rights reserved."	2020	3	18	2020-03-18	"China"	"Faculty of Science, Tianjin University, Tianjin, 300354, China."	FALSE	FALSE
